Quarter,Label,Count,Avg_Rating
2022Q2,Communication,5,2.6
2022Q3,Communication,4,2.75
2022Q4,Communication,3,2.33
2023Q1,Communication,5,2.4
2023Q2,Communication,1,3.0
2023Q3,Communication,3,2.67
2023Q4,Communication,3,2.33
2024Q1,Communication,7,2.57
2024Q2,Communication,8,2.62
2022Q2,Neutral,2,3.0
2022Q3,Neutral,2,3.0
2022Q4,Neutral,1,3.0
2023Q1,Neutral,2,3.0
2023Q2,Neutral,1,3.0
2023Q3,Neutral,2,3.0
2024Q1,Neutral,3,3.0
2024Q2,Neutral,2,3.0
2026Q2,Neutral,3,3.0
2021Q1,Positive,1,5.0
2021Q2,Positive,4,4.75
2022Q1,Positive,4,5.0
2022Q2,Positive,22,4.68
2022Q3,Positive,8,5.0
2022Q4,Positive,3,5.0
2023Q1,Positive,2,4.5
2023Q2,Positive,4,4.75
2023Q3,Positive,4,5.0
2024Q1,Positive,2,4.5
2024Q2,Positive,4,4.5
2024Q4,Positive,1,4.0
2025Q1,Positive,9,4.89
2025Q2,Positive,22,4.82
2025Q4,Positive,1,5.0
2026Q2,Positive,17,4.71
2022Q1,Pricing,1,2.0
2022Q2,Pricing,5,2.0
2022Q3,Pricing,3,2.0
2022Q4,Pricing,2,2.0
2023Q1,Pricing,1,2.0
2023Q2,Pricing,5,2.2
2023Q3,Pricing,9,2.0
2024Q1,Pricing,6,2.0
2024Q2,Pricing,2,2.0
2022Q1,Staff,1,2.0
2022Q2,Staff,2,4.0
2022Q3,Staff,5,2.0
2022Q4,Staff,4,2.0
2023Q1,Staff,1,2.0
2023Q2,Staff,3,2.0
2023Q3,Staff,4,3.0
2023Q4,Staff,3,2.33
2024Q1,Staff,4,2.0
2024Q2,Staff,2,3.0
2022Q2,Treatment,3,1.33
2022Q3,Treatment,6,1.83
2022Q4,Treatment,2,1.5
2023Q2,Treatment,5,1.2
2023Q3,Treatment,4,1.0
2023Q4,Treatment,2,1.5
2024Q1,Treatment,7,1.71
2024Q2,Treatment,7,1.0
2022Q1,Waiting Time,1,3.0
2022Q2,Waiting Time,2,2.5
2022Q3,Waiting Time,3,2.0
2022Q4,Waiting Time,5,2.2
2023Q1,Waiting Time,2,2.0
2023Q2,Waiting Time,3,2.0
2023Q3,Waiting Time,4,2.25
2023Q4,Waiting Time,2,2.0
2024Q1,Waiting Time,7,1.71
2024Q2,Waiting Time,5,2.0
2025Q2,Waiting Time,2,3.0
